customer_state,total_revenue,total_orders,avg_delivery_days
SP,5067633.16,40501,8.2596627979587
RJ,1759651.1300000001,12350,14.688821325037122
MG,1552481.83,11354,11.514091049860639
RS,728897.47,5345,14.708299364095875
PR,666063.51,4923,11.480793060718712
SC,507012.13,3546,14.517207712960703
BA,493584.14,3256,18.77464023893565
DF,296498.41,2080,12.501486199575371
GO,282836.7,1957,14.948177426438296
ES,268643.45,1995,15.192808988764044
PE,251889.49,1593,17.79209621993127
CE,219757.38,1279,20.537166900420758
PA,174470.59,946,23.301707779886147
MT,152191.62,886,17.508196721311474
MA,117009.38,717,21.20375
MS,115429.97,701,15.10727496917386
PB,112586.82,517,20.119453924914676
PI,84721.0,476,18.931166347992352
RN,82105.66,474,18.87332053742802
AL,78855.72,397,23.992974238875878
SE,56574.19,335,20.978666666666665
TO,48402.51,274,17.003225806451614
RO,45682.76,243,19.28205128205128
AM,22155.84,145,25.96319018404908
AC,15930.97,80,20.32967032967033
AP,13374.81,67,27.753086419753085
RR,7057.47,41,27.82608695652174
